Category,First Word Letters,Number of Words,Phrase,Total Number of Letters
Classic TV,4,2,Good Times,9
Classic TV,5,2,Green Acres,10
Classic TV,8,1,Gunsmoke,8
Classic TV,2,2,H.R. Pufnstuf,10
Classic TV,5,2,Happy Days,9
Classic TV,4,3,Hart To Hart,10
Classic TV,4,4,Have Gun - Will Travel,17
Classic TV,2,2,He & She,5
Classic TV,5,7,He-Man And The Masters Of The Universe,31
Classic TV,5,2,Here's Lucy,9
Classic TV,5,2,Here's Johnny!,11
Classic TV,6,4,Herman And Lily Munster,20
Classic TV,7,2,Highway Patrol,13
Classic TV,7,3,Highway To Heaven,15
Classic TV,6,2,Hogan's Heroes,12
Classic TV,9,2,Hollywood Squares,16
Classic TV,11,1,Hooterville,11
Classic TV,4,5,Hugo Weaving As Agent Smith,23
Classic TV,1,4,I Dream Of Jeannie,15
Classic TV,1,3,I Love Lucy,9
Classic TV,1,5,I Love Lucy's William Frawley,24
Classic TV,1,2,I Spy,4
Classic TV,2,3,In Living Color,13
Classic TV,8,1,Ironside,8
Classic TV,6,5,Isabel Sanford As Louise Jefferson,30
Classic TV,5,5,James Garner As Jim Rockford,24
Classic TV,5,5,James Garner Stars In Maverick,26
Classic TV,4,6,"Jed, Granny, Elly Mae, And Jethro",25
Classic TV,4,5,John Ritter As Jack Tripper,23
Classic TV,6,2,Johnny Quest,11
Classic TV,5,2,Jonny Quest,10
Classic TV,5,3,Josie & The Pussycats,17
Classic TV,5,7,Josie And The Pussycats In Outer Space,32
Classic TV,6,2,Knight Rider,11
Classic TV,5,2,Knots Landing,12
Classic TV,5,3,Kukla Fran & Ollie,14
Classic TV,4,2,Kung Fu,6
Classic TV,2,2,L.A. Law,5
Classic TV,7,3,Laverne And Shirley,17
Classic TV,7,4,Laverne Defazio & Shirley Feeney,27
Classic TV,6,1,Lawman,6
Classic TV,5,4,Leave It To Beaver,15
Classic TV,6,5,Little House On The Prairie,23
Classic TV,6,2,Living Single,12
Classic TV,4,3,Lost In Space,11
Classic TV,4,3,Love American Style,17
Classic TV,4,7,Lucy & Ethel Working In A Candy Factory,31
Classic TV,4,8,Lucy And Ethel Working In A Candy Factory,34
Classic TV,4,5,Lucy Ricardo And Ethel Mertz,24
Classic TV,6,6,"Lurch, Uncle Fester, And Cousin Itt",28
Classic TV,6,2,Magnum Pi,8
Classic TV,4,4,Make Room For Daddy,16
Classic TV,6,3,Marcia Marcia Marcia,18
Classic TV,7,5,"Marcia, Jan, And Cindy Brady",22
Classic TV,6,2,Marion Cunningham,16
Classic TV,5,5,Marla Gibbs As Florence Johnston,28
Classic TV,7,3,Married With Children,19
Classic TV,8,2,Mayberry R.F.D,11
Classic TV,7,1,Mccloud,7
Classic TV,7,2,Mchale's Navy,11
Classic TV,7,2,Medical Center,13
Classic TV,4,3,Meet The Press,12
Classic TV,9,6,Memorable Episodes Of The Twilight Zone,34
Classic TV,5,2,Miami Vice,9
Classic TV,4,3,Mike & Carol Brady,14
Classic TV,11,5,Millionaire Thurston Howell The Third,33
Classic TV,4,5,Miss Jane Hathaway & Milburn Drysdale,31
Classic TV,4,4,Miss Kitty And Festus,18
Classic TV,7,2,Mission Impossible,17
Classic TV,6,2,Mister Ed,8
Classic TV,6,3,Mister Roger's Neighborhood,24
Classic TV,4,2,Mork & Mindy,9
Classic TV,2,4,Mr. Tudball & Mrs. Wiggins,19
Classic TV,6,3,Murder She Wrote,14
Classic TV,6,2,Murphy Brown,11
Classic TV,2,3,My Favorite Martian,17
Classic TV,2,3,My Little Margie,14
Classic TV,2,3,My Three Sons,11
Classic TV,5,6,Nancy Walker Sells Bounty Paper Towels,33
Classic TV,5,4,Nanny And The Professor,20
Classic TV,7,1,Newhart,7
Classic TV,5,2,Night Court,10
Classic TV,8,2,Northern Exposure,16
Classic TV,3,5,One Day At A Time,13
Classic TV,3,3,Our Miss Brooks,13
Classic TV,5,2,Ozark Jubilee,12
Classic TV,9,2,Pantomime Quiz,13
Classic TV,6,4,Parker Lewis Can't Lose,19
Classic TV,6,4,Parker Lewis Cant Lose,19
Classic TV,8,1,Password,8
Classic TV,7,3,Peanuts Holiday Specials,22
Classic TV,7,2,Pebbles & Bam-Bam,13
Classic TV,3,3,Pee Wee's Playhouse,16
Classic TV,7,2,Pee-Wee's Playhouse,16
Classic TV,9,2,Petticoat Junction,17
Classic TV,6,2,Peyton Place,11
Classic TV,7,1,Phyllis,7
Classic TV,6,2,Police Story,11
Classic TV,7,2,Private Benjamin,15
Classic TV,7,4,Pugsley And Wednesday Addams,25
Classic TV,5,2,Punky Brewster,13
Classic TV,7,2,Quantum Leap,11
Classic TV,6,2,Quincy M.E.,8
Classic TV,5,3,Ralph & Alice Kramden,17
Classic TV,7,1,Rawhide,7
Classic TV,7,5,Raymond Burr Stars In Ironside,26
Classic TV,4,4,Redd Foxx & Demond Wilson,20
Classic TV,5,2,Rhoda Morgenstern,16
Classic TV,7,5,Ricardo Montalban As Mr. Roarke,26
Classic TV,6,3,Richie & The Fonz,13
Classic TV,3,3,Rob & Laura Petrie,14
Classic TV,5,6,Robin Williams As Mork From Ork,26
Classic TV,3,5,Ron Howard As Opie Taylor,21
Classic TV,3,5,Ron Howard As Opie Tayor,20
Classic TV,8,5,Roseanne John Goodman & Laurie Metcalf,32
Classic TV,9,6,"Roseanne, John Goodman, And Laurie Metcalf",35
Classic TV,5,3,Rowan & Martin's Laugh-In,19
Classic TV,3,4,Run For Your Life,14
Classic TV,4,1,S.W.A.T.,4
Classic TV,4,4,Sale Of The Century,16
Classic TV,5,4,Sally Fields As Gidgit,19
Classic TV,7,3,Sanford And Son,13
Classic TV,5,4,Scott Baio As Chachi,17
Classic TV,3,2,Sea Hunt,7
Classic TV,3,3,See It Now,8
Classic TV,8,1,Seinfeld,8
Classic TV,7,1,Shindig!,7
Classic TV,7,4,Shirley Booth As Hazel,19
Classic TV,7,5,Shirley Booth Stars In Hazel,24
Classic TV,7,5,Shirley Jones As Shirley Partridge,30
Classic TV,7,2,Shirley Partridge,16
Classic TV,7,3,Shirley Temple's Storybook,23
Classic TV,5,2,Simon & Simon,10
Classic TV,4,1,Soap,4
Classic TV,4,2,Soul Train,9
Classic TV,6,2,Square Pegs,10
Classic TV,4,2,Star Castle,10
Classic TV,4,2,Star Search,10
Classic TV,4,2,Star Trek,8
Classic TV,4,5,Star Trek: The Next Generation,25
Classic TV,8,2,Starksky & Hutch,13
Classic TV,7,2,Starsky & Hutch,12
Classic TV,4,3,Stop The Music,12
Classic TV,4,1,Svtv,4
Classic TV,5,4,Tales Of Wells Fargo,17
Classic TV,3,5,Ted Baxter & Sue Ann Nivens,21
Classic TV,3,5,Ted Danson As Sam Malone,20
Classic TV,6,1,Thanks,6
Classic TV,4,2,That Girl,8
Classic TV,5,2,That's Incredible,15
Classic TV,5,2,That's Incredible!,15
Classic TV,3,5,The Abbott And Costello Show,24
Classic TV,3,3,The Addams Family,15
Classic TV,3,3,The Alvin Show,12
Classic TV,3,4,The Andy Griffith Show,19
Classic TV,3,2,The A-Team,8
Classic TV,3,3,The Beverly Hillbillies,21
Classic TV,3,3,The Big Valley,12
Classic TV,3,3,The Bionic Woman,14
Classic TV,3,3,The Bluth Family,14
Classic TV,3,4,The Bob Newhart Show,17
Classic TV,3,3,The Brady Bunch,13
Classic TV,3,4,The Carol Burnett Show,19
Classic TV,3,3,The Civil War,11
Classic TV,3,3,The Colbert Report,16
Classic TV,3,3,The Cosby Show,12
Classic TV,3,3,The Dating Game,13
Classic TV,3,2,The Defenders,12
Classic TV,3,2,The Deputy,9
Classic TV,3,4,The Donna Reed Show,16
Classic TV,3,4,The Dukes Of Hazzard,17
Classic TV,3,4,The Facts Of Life,14
Classic TV,3,6,The Famous Adventures Of Mr. Magoo,28
Classic TV,3,6,The First Prime Time Animated Series,31
Classic TV,3,2,The Flintstones,14
Classic TV,3,4,The Flip Wilson Show,17
Classic TV,3,3,The Flying Nun,12
Classic TV,3,5,The Fresh Prince Of Bel-Air,22
Classic TV,3,3,The Golden Girls,14
Classic TV,3,3,The Gong Show,11
Classic TV,3,4,The Greatest American Hero,23
Classic TV,3,5,The Hardy Boys/Nancy Drew Mysteries,31
Classic TV,3,3,The Hogan Family,14
Classic TV,3,3,The Hollywood Palace,18
Classic TV,3,2,The Honeymooners,15
Classic TV,3,4,The Jamie Foxx Show,16
Classic TV,3,2,The Jeffersons,13
Classic TV,3,2,The Jetsons,10
Classic TV,3,4,The Joey Bishop Show,17
Classic TV,3,4,The Lawrence Welk Show,19
Classic TV,3,4,The Life Of Riley,14
Classic TV,3,3,The Love Boat,11
Classic TV,3,3,The Lucy Show,11
Classic TV,3,4,The Man From U.N.C.L.E.,15
Classic TV,3,5,The Mary Tyler Moore Show,21
Classic TV,3,3,The Match Game,12
Classic TV,3,2,The Millionaire,14
Classic TV,3,2,The Monkees,10
Classic TV,3,2,The Munsters,11
Classic TV,3,3,The Muppet Show,13
Classic TV,3,4,The New Scooby-Doo Movies,21
Classic TV,3,3,The Odd Couple,12
Classic TV,3,3,The Partridge Family,18
Classic TV,3,3,The People's Choice,16
Classic TV,3,5,The Perils Of Penelope Pitstop,26
Classic TV,3,3,The Rat Patrol,12
Classic TV,3,3,The Real Ghostbusters,19
Classic TV,3,3,The Real Mccoys,13
Classic TV,3,2,The Rifleman,11
Classic TV,3,3,The Rockford Files,16
Classic TV,3,5,The Smothers Brothers Comedy Hour,29
Classic TV,3,6,The Sonny And Cher Comedy Hour,25
Classic TV,3,5,The Streets Of San Francisco,24
Classic TV,3,3,The Sunshine State,16
Classic TV,3,5,The Tennessee Ernie Ford Show,25
Classic TV,3,3,The Three Stooges,15
Classic TV,3,2,The Untouchables,15
Classic TV,3,2,The Virginian,12
Classic TV,3,2,The Waltons,10
Classic TV,3,3,The Watch Game,12
Classic TV,3,4,The Wild Wild West,15
Classic TV,3,3,The Wonder Years,14
Classic TV,3,5,The Wonderful World Of Disney,25
Classic TV,3,5,The Youngest One In Curls,21
Classic TV,5,5,Their House Is A Museum,19
Classic TV,4,4,This Is Your Life,14
Classic TV,6,2,Three's Company,13
Classic TV,3,3,Tic Tac Dough,11
Classic TV,4,4,Tony Orlando And Dawn,18
Classic TV,4,5,Tony Randall As Felix Unger,23
Classic TV,3,4,Too Close For Comfort,18
Classic TV,7,3,Trapper John M.D.,13
Classic TV,5,1,Vega$,5
Classic TV,5,6,Vicki Lawrence Stars In Mama's Family,31
Classic TV,6,5,Vivian Vance As Ethel Mertz,23
Classic TV,5,2,Wagon Train,10
Classic TV,6,4,Wanted: Dead Or Alive,17
Classic TV,7,4,Welcome To Fantasy Island,22
Classic TV,5,3,What's My Line,11
Classic TV,5,5,Where Everybody Knows Your Name,27
Classic TV,4,3,Who's The Boss?,11
Classic TV,3,4,You Bet Your Life,14
Classic TV,3,8,You Bet Your Life Hosted By Groucho Marx,33
Classic TV,4,4,Your Show Of Shows,15
College Life,8,2,Academic Scholarship,19
College Life,8,3,All-Night Cram Session,19
College Life,5,4,Being Granted A Scholarship,24
College Life,8,7,Bringing Laundry Home To Mom And Dad,30
College Life,6,2,Buying Textbooks,15
College Life,11,2,Challenging Cirriculum,21
College Life,11,2,Challenging Curriculum,21
College Life,6,4,Copies Of My Transcripts,21
College Life,6,2,Course Catalog,13
College Life,6,2,Course Number,12
College Life,8,4,Cramming For An Exam,17
College Life,9,3,Declaring A Major,15
College Life,7,5,Falling Asleep In The Library,25
College Life,6,2,Finals Week,10
College Life,8,2,Freshman Orientation,19
College Life,5,3,Grade Point Average,17
College Life,10,2,Intramural Activities,20
College Life,10,2,Intramural Sports,16
College Life,9,3,Late-Night Cram Sessions,21
College Life,9,3,Late-Night Study Session,21
College Life,8,3,Majoring In Biology,17
College Life,8,4,Majoring In Business Education,27
College Life,8,3,Majoring In Italian,17
College Life,8,3,Majoring In Spanish,17
College Life,7,2,Master's Degree,13
College Life,8,3,Medieval & Renaissance Studies,26
College Life,6,3,Moving Off Campus,15
College Life,3,3,New Student Orientation,21
College Life,8,2,On-Campus Activities,18
College Life,7,2,Physics Class,12
College Life,7,5,Playing In The Marching Band,24
College Life,8,3,Pledging A Fraternity,19
College Life,12,2,Prerequisite Class,17
College Life,10,3,Professor's Office Hours,21
College Life,7,3,Pulling An All-Nighter,19
College Life,8,4,Spending A Semester Abroad,23
College Life,7,3,Student Activities Committee,26
College Life,7,2,Student Government,17
College Life,7,2,Student Organizations,20
College Life,11,2,Study-Abroad Program,18
College Life,8,2,Studying Abroad,14
College Life,10,2,University Bookstore,19
College Life,7,3,Walking Across Campus,19
College Life,7,5,Writing For The Campus Newspaper,28
Event,1,3,A Bicycle Tour,12
Event,1,3,A Big Bash,8
Event,1,3,A Big Decision,12
Event,1,4,A Big Family Gathering,19
Event,1,4,A Big Night Out,12
Event,1,3,A Big Win,7
Event,1,5,A Bike Tour Through Europe,22
Event,1,6,A Boat Trip On Crater Lake,21
Event,1,6,A Boat Trip On Lake Erie,19
Event,1,3,A Brewing Romance,15
Event,1,4,A Brief Cold Snap,14
Event,1,3,A Brief Encounter,15
Event,1,4,A Clear & Snowy Night,16
Event,1,5,A Come From Behind Win,18
Event,1,3,A Come-From-Behind Win,18
Event,1,6,A Cricket Match At The Gabba,23
Event,1,5,A Cruise Across The Ocean,21
Event,1,6,A Cruise Along The Mexican Riviera,29
Event,1,5,A Cruise Along The Nile,19
Event,1,5,A Cruise Like No Other,18
Event,1,6,A Cruise Through The Northwest Passage,33
Event,1,6,A Cruise To A Faraway Island,23
Event,1,5,A Cruise To The Islands,19
Event,1,6,A Cycling Trip Along The Coast,25
Event,1,5,A Date At The Coffeehouse,21
Event,1,5,A Day At The Zoo,12
Event,1,6,A Day Of Sunshine And Smiles,23
Event,1,7,A Day Trip To Cute Little Village,27
Event,1,6,A Day Trip To Niagara Falls,22
Event,1,3,A Difficult Hike,14
Event,1,6,A Dinner Cruise Aboard A Riverboat,29
Event,1,6,A Dream Vacation In Wine Country,27
Event,1,5,A Drive Along The Coast,19
Event,1,5,A Fabulous Tour Of Vienna,21
Event,1,3,A Family Gathering,16
Event,1,3,A Friend's Wedding,15
Event,1,5,A Game In Extra Innings,19
Event,1,4,A Game Of Scrimmage,16
Event,1,6,A Gathering Around A Fire Pit,24
Event,1,5,A Gathering Around Fire Pit,23
Event,1,7,A Get Together With Family And Friends,32
Event,1,5,A Get-Together With Friends & Family,29
Event,1,6,A Get-Together With Friends And Family,32
Event,1,3,A Glamping Adventure,18
Event,1,8,A Guided Fishing Trip On The Rogue River,33
Event,1,5,A Hike In Mount Hood,16
Event,1,6,A Hike On A Greek Island,19
Event,1,5,A Hike On Mount Hood,16
Event,1,8,A Hike To The Top Of Saddle Mountain,29
Event,1,6,A Honeymoon In An Exotic Location,28
Event,1,7,A Honeymoon In An Exotic Location Event,33
Event,1,3,A Humbling Experience,19
Event,1,4,A Long Hot Shower,14
Event,1,6,A Long Walk On The Beach,19
Event,1,3,A Memorable Birthday,18
Event,1,7,A Mule Trip Into The Grand Canyon,27
Event,1,5,A Musical Tour Of Vienna,20
Event,1,4,A New Dinosaur Adventure,21
Event,1,4,A New King's Coronation,19
Event,1,4,A Nice Hot Shower,14
Event,1,5,A Night At The Ballet,17
Event,1,5,A Night At The Opera,16
Event,1,5,A Night Of Club Hopping,19
Event,1,4,A Night Of Club-Hopping,19
Event,1,5,A Night Of Dinner & Dancing,21
Event,1,6,A Night Of Dinner And Dancing,24
Event,1,5,A Night On The Town,15
Event,1,9,A Night Out On The Town On Sixth Street,31
Event,1,5,A Night Out With Friends,20
Event,1,4,A Night To Remember,16
Event,1,5,A Night Under The Stars,19
Event,1,5,A Picnic In The Park,16
Event,1,6,A Pleasant Stroll Along The River,28
Event,1,3,A Poolside Party,14
Event,1,3,A Quick Break,11
Event,1,3,A Quick Drive,11
Event,1,7,A Rafting Trip Down The Colorado River,32
Event,1,7,A Rafting Trip In The Grand Canyon,28
Event,1,3,A Red-Letter Day,13
Event,1,3,A Relaxing Afternoon,18
Event,1,4,A Relaxing Family Visit,20
Event,1,7,A Ride Across The Golden Gate Bridge,30
Event,1,6,A Ride On The London Eye,19
Event,1,7,A Road Trip Through The Western States,32
Event,1,5,A Romantic Dinner For Two,21
Event,1,6,A Romantic Dinner For Two People,27
Event,1,6,A Romantic Getaway In The Mountains,30
Event,1,6,A Romantic Picnic At The Beach,25
Event,1,4,A Romantic Valentine's Day,22
Event,1,7,A Romantic Walk Through The New-Fallen Snow,36
Event,1,4,A Search For Fossils,17
Event,1,5,A Series Of Presidential Primaries,30
Event,1,7,A Side Trip To The Colorado River,27
Event,1,5,A Ski Trip To Whistler,18
Event,1,6,A Soak In A Thermal Spring,21
Event,1,7,A Stay In An Unique Mountaintop Home,30
Event,1,5,A Stroll Around Nami Island,23
Event,1,5,A Stroll On The Beach,17
Event,1,7,A Stroll Through The Streets Of Alfama,32
Event,1,6,A Symphony Of Lights Laser-Light Show,31
Event,1,3,A Ten-Minute Nap,13
Event,1,6,A Tip To The Sunshine State,22
Event,1,6,A Tour Of A Famous Monastery,23
Event,1,6,A Tour Of A Medieval Castle,22
Event,1,5,A Tour Of Charming Towns,20
Event,1,5,A Tour Of Mayan Ruins,17
Event,1,4,A Tour Of Prague,13
Event,1,5,A Tour Of The Amazon,16
Event,1,5,A Tour Of The City,14
Event,1,6,A Tour Of The Covered Bridges,24
Event,1,6,A Tour Of The Greek Islands,22
Event,1,6,A Tour Of The Greel Islands,22
Event,1,6,A Tour Of The State Capitol,22
Event,1,6,A Tour Of The Taj Mahal,18
Event,1,6,A Tour Of The White House,20
Event,1,5,A Tour Of Westminster Abbey,23
Event,1,7,A Tour On The Grand Canyon Railway,28
Event,1,3,A Trip Abroad,11
Event,1,4,A Trip Out West,12
Event,1,3,A Trip Overseas,13
Event,1,5,A Trip Through The Mangroves,24
Event,1,6,A Trip To A Fish Hatchery,20
Event,1,6,A Trip To A Frontier Town,20
Event,1,7,A Trip To A Green Recreational Area,29
Event,1,6,A Trip To A Historic City,20
Event,1,6,A Trip To A Historical Fort,22
Event,1,6,A Trip To A Luxurious Spa,20
Event,1,6,A Trip To A Secret Island,20
Event,1,5,A Trip To A Supervolcano,20
Event,1,6,A Trip To A Temperate Rainforest,27
Event,1,6,A Trip To A Tiny City,16
Event,1,6,A Trip To A Wildlife Refuge,22
Event,1,6,A Trip To Albuquerque New Mexico,27
Event,1,6,A Trip To Albuquerque Old Town,25
Event,1,5,A Trip To Amish Country,19
Event,1,6,A Trip To An Indoor Playground,25
Event,1,8,A Trip To An Island In The Pacific,27
Event,1,6,A Trip To An Isolated Castle,23
Event,1,5,A Trip To Angkor Wat,16
Event,1,4,A Trip To Antarctica,17
Event,1,6,A Trip To Badlands National Park,27
Event,1,4,A Trip To Bali,11
Event,1,5,A Trip To Bangor Maine,18
Event,1,5,A Trip To Barcelona Spain,21
Event,1,4,A Trip To Bath,11
Event,1,4,A Trip To Bermuda,14
Event,1,4,A Trip To Botswana,15
Event,1,5,A Trip To Boulder Colorado,22
Event,1,4,A Trip To Cambridge,16
Event,1,5,A Trip To Casper Wyoming,20
Event,1,5,A Trip To Central Europe,20
Event,1,5,A Trip To Coney Island,18
Event,1,6,A Trip To Cooperstown New York,25
Event,1,7,A Trip To Crater Lake National Park,29
Event,1,5,A Trip To Devils Tower,18
Event,1,5,A Trip To Easter Island,19
Event,1,4,A Trip To England,14
Event,1,4,A Trip To Europe,13
Event,1,5,A Trip To Fenway Park,17
Event,1,6,A Trip To Fort Lauderdale Florida,28
Event,1,6,A Trip To Gallup New Mexico,22
Event,1,7,A Trip To Glacier Bay National Park,29
Event,1,7,A Trip To Great Sandy National Park,29
Event,1,4,A Trip To Greece,13
Event,1,4,A Trip To Guadalajara,18
Event,1,5,A Trip To Haystack Rock,19
Event,1,4,A Trip To Hersheypark,18
Event,1,6,A Trip To Historic Mining Town,25
Event,1,6,A Trip To Historic Mining Towns,26
Event,1,5,A Trip To Historical Sites,22
Event,1,5,A Trip To Hollywood Florida,23
Event,1,4,A Trip To India,12
Event,1,5,A Trip To Inscription Rock,22
Event,1,6,A Trip To Jackson Hole Wyoming,25
Event,1,6,A Trip To Kennedy Space Center,25
Event,1,5,A Trip To London England,20
Event,1,5,A Trip To Machu Picchu,18
Event,1,5,A Trip To Meteor Crater,19
Event,1,5,A Trip To Milan Italy,17
Event,1,5,A Trip To Moscow Russia,19
Event,1,5,A Trip To Mount Rushmore,20
Event,1,4,A Trip To Nepal,12
Event,1,6,A Trip To New York City,18
Event,1,7,A Trip To New York New York,21
Event,1,5,A Trip To Paris France,18
Event,1,5,A Trip To Portland Oregon,21
Event,1,6,A Trip To Prescott National Forest,29
Event,1,6,A Trip To Roswell New Mexico,23
Event,1,6,A Trip To San Diego California,25
Event,1,7,A Trip To Santa Fe New Mexico,23
Event,1,9,A Trip To See The Field Of Light Uluru,30
Event,1,7,A Trip To See The Liberty Bell,24
Event,1,5,A Trip To See Waterfalls,20
Event,1,5,A Trip To Tampa Florida,19
Event,1,6,A Trip To The Austin Zoo,19
Event,1,8,A Trip To The Baseball Hall Of Fame,28
Event,1,6,A Trip To The Big Island,19
Event,1,7,A Trip To The Career Placement Office,31
Event,1,6,A Trip To The Career-Placement Office,31
Event,1,7,A Trip To The Christmas Tree Farm,27
Event,1,6,A Trip To The Concession Stand,25
Event,1,6,A Trip To The Cook Islands,21
Event,1,5,A Trip To The Countryside,21
Event,1,9,A Trip To The Deepest Lake In The U.S,28
Event,1,9,A Trip To The Deepest Lake In The U.S.,28
Event,1,7,A Trip To The Four Corners Area,25
Event,1,7,A Trip To The Georgia O'Keeffe Museum,30
Event,1,6,A Trip To The Greek Islands,22
Event,1,6,A Trip To The Hungarian Sea,22
Event,1,7,A Trip To The Island Of Kotlin,24
Event,1,6,A Trip To The Maritime Provinces,27
Event,1,5,A Trip To The Museum,16
Event,1,6,A Trip To The North Pole,19
Event,1,6,A Trip To The Pacific Northwest,26
Event,1,7,A Trip To The Party Supply Store,26
Event,1,6,A Trip To The Party-Supply Store,26
Event,1,6,A Trip To The Pastry Shop,20
Event,1,6,A Trip To The Perth Zoo,18
Event,1,6,A Trip To The Petrified Forest,25
Event,1,6,A Trip To The Petrified Forrest,26
Event,1,6,A Trip To The Pumpkin Patch,22
Event,1,5,A Trip To The Ruins,15
Event,1,7,A Trip To The Snow Covered Andes,26
Event,1,6,A Trip To The Snow-Covered Andes,26
Event,1,5,A Trip To The Summit,16
Event,1,6,A Trip To The Sunshine Coast,23
Event,1,6,A Trip To The Sunshine State,23
Event,1,6,A Trip To The Swiss Alps,19
Event,1,6,A Trip To The Tiergarten Schonbrunn,30
Event,1,6,A Trip To The Toy Store,18
Event,1,10,A Trip To The Warm Dry South Coast Of Portugal,37
Event,1,6,A Trip To The Weekly Market,22
Event,1,5,A Trip To The Wetlands,18
Event,1,5,A Trip To Thermal Springs,21
Event,1,4,A Trip To Transylvania,19
Event,1,5,A Trip To Wriggled Field,20
Event,1,5,A Trip To Wrigley Field,19
Event,1,4,A Trip To Wyoming,14
Event,1,5,A Trip To Yankee Stadium,20
Event,1,3,A Vacation Abroad,15
Event,1,6,A Visit To A Ghost Town,18
Event,1,6,A Visit To An Alpine Village,23
Event,1,6,A Visit To Badlands National Park,28
Event,1,5,A Visit To Buckingham Palace,24
Event,1,5,A Visit To Kensington Palace,24
Event,1,6,A Visit To The Art Museum,20
Event,1,6,A Visit To The Art Museun,20
Event,1,6,A Visit To The Giza Pyramid,22
Event,1,6,A Visit To The Hot Springs,21
Event,1,5,A Visit To The Pyramids,19
Event,1,6,A Walk On An Exotic Beach,20
Event,1,5,A Walk Through The Trees,20
Event,1,4,A Wedding In Paradise,18
Event,1,3,A Weekend Getaway,15
Event,1,4,A Weekend In Maui,14
Event,1,5,A Weekend On Martha's Vineyard,25
Event,1,5,A Weekend On Nantucket Island,25
Event,10,3,Aboriginal Heritage Tour,22
Event,7,3,Academy Awards Pre-Show,20
Event,7,2,Acadian Festival,15
Event,3,3,Act Of Heroism,12
Event,6,3,Action Packed Escape,18
Event,6,4,Action Packed Night Out,20
Event,12,2,Action-Packed Adventures,22
Event,12,2,Action-Packed Escape,18
Event,12,2,Action-Packed Escapes,19
Event,12,3,Action-Packed Football Game,24
Event,12,3,Action-Packed Night Out,20
Event,6,2,Actual Reenactment,17
Event,9,3,Adjusting My Tie,14
Event,9,5,Adjusting Your Cars Air Vents,25
Event,14,3,Administrative Professionals' Day,30
Event,5,3,Adobe Stock Images,16
Event,8,3,Adopting A Pet,12
Event,7,2,Advance Screening,16
Event,9,3,Adventure At Sea,14
Event,9,2,Adventure Tourism,16
Event,11,2,Adventurous Safari,17
Event,11,2,Adventurous Trip,15
Event,8,2,Aerobics Class,13
Event,11,4,Affirmative Action Is Implemented,30
Event,7,2,African Honeymoon,16
Event,7,2,African Safari,13
Event,5,2,After Dark,9
Event,11,5,After-Dinner Walk Along The Beach,28
Event,9,2,After-Game Celebrations,21
Event,10,2,After-Hours Party,15
Event,9,3,Afternoon Business Meeting,24
Event,9,4,Afternoon Cocktails & A Matinee,26
Event,9,5,Afternoon Cocktails And A Matinee,29
Event,9,2,Afternoon Downpour,17
Event,9,3,Afternoon Garden Party,20
Event,9,2,Afternoon Movie,14
Event,9,3,Afternoon Movie Matinee,21
Event,9,2,Afternoon Nap,12
Event,9,5,Afternoon Nap On The Sand,21
Event,9,2,Afternoon Play,13
Event,9,3,Afternoon Rain Shower,19
Event,9,3,Afternoon Sailing Lesson,22
Event,9,3,Afternoon Shopping Trip,21
Event,9,2,Afternoon Teatime,16
Event,9,2,Afternoon Thundershower,22
Event,9,3,Afternoon Yoga Class,18
Event,9,3,Afternoon Yoga Retreat,20
Event,11,2,After-School Activity,19
Event,12,2,Agricultural Fair,16
Event,7,2,Alaskan Cruise,13
Event,5,2,Album Tour,9
Event,12,2,Album-Release Party,17
Event,3,3,All Soul's Day,11
Event,3,3,All Souls' Day,11
Event,3,6,All The Family Laughing And Singing,30
Event,6,3,All-Day Hiking Tour,16
Event,6,4,All-Day Private Bike Tour,21
Event,6,2,All-Day Seminar,13
Event,6,2,All-Day Shopping,14
Event,6,4,All-Day Sumo Wrestling Tournaments,30
Event,10,3,All-Expense Paid Vacation,22
Event,11,3,All-Expenses Paid Vacation,23
Event,15,5,All-Expenses-Paid Trip Around The World,33
Event,8,2,All-Night Dancing,15
Event,7,2,All-Star Game,11
Event,7,3,All-Time Favorite Actor,20
Event,7,2,Amazing Adventures,17
Event,7,3,Amazing Celestial Shower,22
Event,7,2,Amazing Experience,17
Event,7,3,Amazing Home Renovation,21
Event,7,2,Amazing Performances,19
Event,7,3,Amazing Street Performances,25
Event,7,2,Amazing Sunrise,14
Event,7,2,Amazing Sunset,13
Event,7,2,Amazing Transformation,21
Event,7,3,Amazing Tropical Escape,21
Event,7,3,Amazing Volcano Eruption,22
Event,6,2,Ambush Interview,15
Event,7,2,America' Cup,10
Event,8,3,American Civil War,16
Event,8,3,American History Class,20
Event,8,3,American History X,16
Event,8,3,American Idol Audition,20
Event,8,2,American Revolution,18
Event,8,3,American Revolutionary War,24
Event,8,3,American Road Trip,16
Event,15,2,American-History Class,20
Event,9,3,Amsterdam Light Festival,22
Event,2,5,An Afternoon Of Ice Fishing,23
Event,2,4,An Afternoon Of Ice-Fishing,23
Event,2,5,An Afternoon Of Pottery Painting,28
Event,2,4,An Afternoon Of Pottery-Painting,28
Event,2,4,An Afternoon Of Sightseeing,24
Event,2,5,An Afternoon Of Social Tennis,25
Event,2,3,An Amazing Spectacle,18
Event,2,4,An Annual Family Vacation,22
Event,2,3,An Art Fair,9
Event,2,3,An Early Dinner,13
Event,2,4,An Evening At Home,15
Event,2,5,An Evening In Lockwood Manor,24
